provider,metric,n,p50,p90,p95,p99,mean,std
groq,connect_ms,9430,9.4,13.2,16.3,28.6,10.5,4.8
groq,headers_ms,9430,65.9,90.8,115.4,183.1,68.5,134.5
groq,ttft_ms,9430,67.3,95.5,119.6,193.6,70.8,135.5
groq,ttl_ms,9430,73.5,105.6,130.5,205.9,78.2,135.8
groq,gen_ms,9430,6.8,9.1,11.6,31.5,7.4,8.3
groq,total_ms,9430,126.7,175.7,213.9,347.4,136.2,139.5
mistral,connect_ms,13805,9.0,12.5,15.4,28.8,10.1,5.9
mistral,headers_ms,13805,230.8,475.3,931.5,6140.7,512.8,1807.9
mistral,ttft_ms,13805,232.3,479.6,933.3,6141.4,514.3,1808.0
mistral,ttl_ms,13805,266.9,532.3,996.7,6236.2,552.9,1813.6
mistral,gen_ms,13805,32.7,42.1,50.6,138.5,38.5,102.8
mistral,total_ms,13805,324.7,606.0,1059.0,6297.1,610.7,1814.3
openai,connect_ms,14499,9.3,13.5,16.8,30.0,10.6,7.2
openai,headers_ms,14499,484.9,892.5,1376.6,2842.8,626.5,656.6
openai,ttft_ms,14499,526.2,963.9,1421.1,2932.3,672.1,664.5
openai,ttl_ms,14499,632.8,1113.5,1546.1,3151.4,780.4,680.7
openai,gen_ms,14499,89.0,174.6,216.4,350.6,108.3,91.7
openai,total_ms,14499,690.7,1178.0,1610.9,3205.5,839.1,682.5
