combo,stt,llm,tts,stt_conn_ms,stt_ttft_ms,llm_ttft_ms,tts_ttfa_ms,stream_e2e
deepgram+groq+azure,deepgram,groq,azure,424.9,574.6,68.2,66.6,1134.2
deepgram+mistral+azure,deepgram,mistral,azure,424.9,574.6,230.6,66.6,1296.7
deepgram+openai+azure,deepgram,openai,azure,424.9,574.6,541.5,66.6,1607.5
deepgram+groq+deepgram,deepgram,groq,deepgram,424.9,574.6,68.2,556.5,1624.1
deepgram+mistral+deepgram,deepgram,mistral,deepgram,424.9,574.6,230.6,556.5,1786.6
azure+groq+azure,azure,groq,azure,49.5,1715.2,68.2,66.6,1899.5
deepgram+groq+openai,deepgram,groq,openai,424.9,574.6,68.2,954.2,2021.8
azure+mistral+azure,azure,mistral,azure,49.5,1715.2,230.6,66.6,2062.0
deepgram+openai+deepgram,deepgram,openai,deepgram,424.9,574.6,541.5,556.5,2097.4
revai+groq+azure,revai,groq,azure,597.5,1419.6,68.2,66.6,2151.9
deepgram+mistral+openai,deepgram,mistral,openai,424.9,574.6,230.6,954.2,2184.3
revai+mistral+azure,revai,mistral,azure,597.5,1419.6,230.6,66.6,2314.4
azure+openai+azure,azure,openai,azure,49.5,1715.2,541.5,66.6,2372.8
azure+groq+deepgram,azure,groq,deepgram,49.5,1715.2,68.2,556.5,2389.4
deepgram+openai+openai,deepgram,openai,openai,424.9,574.6,541.5,954.2,2495.1
azure+mistral+deepgram,azure,mistral,deepgram,49.5,1715.2,230.6,556.5,2551.8
revai+openai+azure,revai,openai,azure,597.5,1419.6,541.5,66.6,2625.2
revai+groq+deepgram,revai,groq,deepgram,597.5,1419.6,68.2,556.5,2641.8
azure+groq+openai,azure,groq,openai,49.5,1715.2,68.2,954.2,2787.1
revai+mistral+deepgram,revai,mistral,deepgram,597.5,1419.6,230.6,556.5,2804.2
azure+openai+deepgram,azure,openai,deepgram,49.5,1715.2,541.5,556.5,2862.7
azure+mistral+openai,azure,mistral,openai,49.5,1715.2,230.6,954.2,2949.6
revai+groq+openai,revai,groq,openai,597.5,1419.6,68.2,954.2,3039.5
revai+openai+deepgram,revai,openai,deepgram,597.5,1419.6,541.5,556.5,3115.1
revai+mistral+openai,revai,mistral,openai,597.5,1419.6,230.6,954.2,3202.0
azure+openai+openai,azure,openai,openai,49.5,1715.2,541.5,954.2,3260.4
revai+openai+openai,revai,openai,openai,597.5,1419.6,541.5,954.2,3512.8
