date,endpoint,handshake_ms,tls_version
2026-06-01,api.deepgram.com,,
2026-06-01,api.rev.ai,,
2026-06-01,italynorth.stt.speech.microsoft.com,,
2026-06-01,api.openai.com,,
2026-06-01,api.groq.com,,
2026-06-01,api.mistral.ai,,
2026-06-01,api.deepgram.com,,
2026-06-01,api.openai.com,,
2026-06-01,italynorth.tts.speech.microsoft.com,,
2026-06-02,api.deepgram.com,,
2026-06-02,api.rev.ai,,
2026-06-02,italynorth.stt.speech.microsoft.com,,
2026-06-02,api.openai.com,,
2026-06-02,api.groq.com,,
2026-06-02,api.mistral.ai,,
2026-06-02,api.deepgram.com,,
2026-06-02,api.openai.com,,
2026-06-02,italynorth.tts.speech.microsoft.com,,
2026-06-03,api.deepgram.com,,
2026-06-03,api.rev.ai,,
2026-06-03,italynorth.stt.speech.microsoft.com,,
2026-06-03,api.openai.com,,
2026-06-03,api.groq.com,,
2026-06-03,api.mistral.ai,,
2026-06-03,api.deepgram.com,,
2026-06-03,api.openai.com,,
2026-06-03,italynorth.tts.speech.microsoft.com,,
2026-06-04,api.deepgram.com,,
2026-06-04,api.rev.ai,,
2026-06-04,italynorth.stt.speech.microsoft.com,,
2026-06-04,api.openai.com,,
2026-06-04,api.groq.com,,
2026-06-04,api.mistral.ai,,
2026-06-04,api.deepgram.com,,
2026-06-04,api.openai.com,,
2026-06-04,italynorth.tts.speech.microsoft.com,,
2026-06-05,api.deepgram.com,,
2026-06-05,api.rev.ai,,
2026-06-05,italynorth.stt.speech.microsoft.com,,
2026-06-05,api.openai.com,,
2026-06-05,api.groq.com,,
2026-06-05,api.mistral.ai,,
2026-06-05,api.deepgram.com,,
2026-06-05,api.openai.com,,
2026-06-05,italynorth.tts.speech.microsoft.com,,
2026-06-06,api.deepgram.com,,
2026-06-06,api.rev.ai,,
2026-06-06,italynorth.stt.speech.microsoft.com,,
2026-06-06,api.openai.com,,
2026-06-06,api.groq.com,,
2026-06-06,api.mistral.ai,,
2026-06-06,api.deepgram.com,,
2026-06-06,api.openai.com,,
2026-06-06,italynorth.tts.speech.microsoft.com,,
2026-06-07,api.deepgram.com,,
2026-06-07,api.rev.ai,,
2026-06-07,italynorth.stt.speech.microsoft.com,,
2026-06-07,api.openai.com,,
2026-06-07,api.groq.com,,
2026-06-07,api.mistral.ai,,
2026-06-07,api.deepgram.com,,
2026-06-07,api.openai.com,,
2026-06-07,italynorth.tts.speech.microsoft.com,,
